epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49848,1.21896,3.43029,1.00607,0.00333,1,0.66389,0.52067,0.60507,3.0613,0.79284,0.00024,0.00024,0.00024
2,8.55483,0.82134,1.445,0.90413,0.00333,1,0.59891,0.44723,0.58028,2.92923,0.77121,0.0004967,0.0004967,0.0004967
3,12.3191,0.73655,1.11615,0.90123,0.00333,1,0.13721,0.09102,0.60778,3.07661,0.79736,0.000749968,0.000749968,0.000749968
4,15.9875,0.83433,1.10346,0.90551,0.00333,1,0.28086,0.2434,0.65022,3.1272,0.84655,0.000999804,0.000999804,0.000999804
5,19.576,0.74747,1.03573,0.89281,1,0.15485,0.4138,0.31437,0.60367,2.99425,0.83033,0.00124621,0.00124621,0.00124621
6,23.1569,0.74748,0.97781,0.91353,0.00267,0.8,0.29811,0.21267,0.74912,3.49084,0.99443,0.00148918,0.00148918,0.00148918
7,26.731,0.75547,0.92937,0.91524,0.6196,0.18,0.17968,0.05837,1.03361,3.66824,1.17855,0.00172872,0.00172872,0.00172872
8,30.2546,0.73428,0.83788,0.91708,0.99691,1,0.995,0.86541,0.57721,1.82598,0.86694,0.0019076,0.0019076,0.0019076
9,33.8715,0.72504,0.82582,0.90365,0.99357,1,0.995,0.86605,0.59653,1.58152,0.88323,0.0018944,0.0018944,0.0018944
10,37.5579,0.68728,0.80454,0.91937,0.99865,1,0.995,0.85401,0.54879,0.81658,0.86929,0.0018812,0.0018812,0.0018812
11,41.1749,0.69212,0.74211,0.88534,0.99848,1,0.995,0.87172,0.55126,0.73338,0.85971,0.001868,0.001868,0.001868
12,44.8227,0.64711,0.73091,0.89035,0.99861,1,0.995,0.88629,0.50063,0.65513,0.856,0.0018548,0.0018548,0.0018548
13,48.4199,0.62936,0.68948,0.88981,0.99881,1,0.995,0.89453,0.49946,0.67352,0.85797,0.0018416,0.0018416,0.0018416
14,52.0075,0.62451,0.65756,0.86669,0.99897,1,0.995,0.89485,0.49802,0.57265,0.85546,0.0018284,0.0018284,0.0018284
15,55.6047,0.62461,0.65964,0.88063,0.99799,1,0.995,0.89823,0.48905,0.53042,0.85057,0.0018152,0.0018152,0.0018152
16,59.2423,0.66409,0.63432,0.88323,0.99891,1,0.995,0.90124,0.46077,0.58004,0.83002,0.001802,0.001802,0.001802
17,62.8708,0.61249,0.59331,0.87031,0.99889,1,0.995,0.88362,0.52096,0.51457,0.86006,0.0017888,0.0017888,0.0017888
18,66.3741,0.62833,0.55788,0.88138,0.9989,1,0.995,0.87672,0.51227,0.44786,0.85132,0.0017756,0.0017756,0.0017756
19,69.933,0.63273,0.56386,0.89359,0.99882,1,0.995,0.90194,0.47154,0.42796,0.83319,0.0017624,0.0017624,0.0017624
20,73.6227,0.60637,0.54912,0.89781,0.9988,1,0.995,0.91276,0.4549,0.38899,0.83966,0.0017492,0.0017492,0.0017492
21,77.2102,0.6081,0.51291,0.88177,0.99888,1,0.995,0.8732,0.53986,0.42281,0.86704,0.001736,0.001736,0.001736
22,80.7015,0.60315,0.48963,0.88539,0.99886,1,0.995,0.91068,0.44986,0.38009,0.83489,0.0017228,0.0017228,0.0017228
23,84.1839,0.56667,0.48074,0.86289,0.99893,1,0.995,0.89826,0.44689,0.3979,0.83936,0.0017096,0.0017096,0.0017096
24,87.7109,0.5833,0.48424,0.87974,0.99896,1,0.995,0.92153,0.4317,0.43433,0.83443,0.0016964,0.0016964,0.0016964
25,91.2804,0.56044,0.46635,0.85307,0.99894,1,0.995,0.91227,0.42362,0.36797,0.8298,0.0016832,0.0016832,0.0016832
26,94.7844,0.55702,0.47956,0.86821,0.99893,1,0.995,0.92647,0.40645,0.32222,0.82394,0.00167,0.00167,0.00167
27,99.3828,0.58054,0.47649,0.87846,0.99896,1,0.995,0.92717,0.43854,0.35967,0.83362,0.0016568,0.0016568,0.0016568
28,103.063,0.58144,0.47609,0.8727,0.99891,1,0.995,0.88488,0.46494,0.37998,0.84041,0.0016436,0.0016436,0.0016436
29,106.595,0.59214,0.4773,0.89552,0.99873,1,0.995,0.90322,0.43234,0.38625,0.83725,0.0016304,0.0016304,0.0016304
30,110.101,0.57372,0.44711,0.85266,0.99882,1,0.995,0.9148,0.41088,0.35683,0.84357,0.0016172,0.0016172,0.0016172
31,113.58,0.59595,0.46121,0.87342,0.99884,1,0.995,0.91745,0.42507,0.36573,0.85047,0.001604,0.001604,0.001604
32,117.081,0.5496,0.43123,0.85285,0.99883,1,0.995,0.91778,0.405,0.35243,0.83344,0.0015908,0.0015908,0.0015908
33,120.567,0.51996,0.40884,0.83978,0.9989,1,0.995,0.9209,0.37703,0.33382,0.8207,0.0015776,0.0015776,0.0015776
34,124.04,0.54084,0.41255,0.86855,0.99894,1,0.995,0.91734,0.42357,0.34724,0.83018,0.0015644,0.0015644,0.0015644
35,127.547,0.53227,0.41544,0.8478,0.99891,1,0.995,0.93111,0.38462,0.32582,0.81637,0.0015512,0.0015512,0.0015512
36,131.187,0.55276,0.41835,0.86138,0.99891,1,0.995,0.91549,0.42611,0.35736,0.83373,0.001538,0.001538,0.001538
37,134.836,0.5403,0.41535,0.85229,0.99892,1,0.995,0.90884,0.41461,0.36914,0.83383,0.0015248,0.0015248,0.0015248
38,138.312,0.55275,0.41543,0.88429,0.99886,1,0.995,0.90719,0.43375,0.32724,0.83609,0.0015116,0.0015116,0.0015116
39,141.792,0.55863,0.4141,0.86463,0.99886,1,0.995,0.92929,0.3922,0.31183,0.82881,0.0014984,0.0014984,0.0014984
40,145.351,0.55763,0.40906,0.87868,0.99808,1,0.995,0.92296,0.4173,0.35843,0.83215,0.0014852,0.0014852,0.0014852
41,148.875,0.54306,0.40755,0.87217,0.99893,1,0.995,0.93144,0.36928,0.3022,0.81097,0.001472,0.001472,0.001472
42,152.438,0.54684,0.39546,0.86322,0.99892,1,0.995,0.9439,0.38755,0.31362,0.81888,0.0014588,0.0014588,0.0014588
43,156.727,0.57475,0.4265,0.88178,0.9989,1,0.995,0.91446,0.42046,0.31337,0.82542,0.0014456,0.0014456,0.0014456
44,160.327,0.54992,0.40209,0.85068,0.99895,1,0.995,0.91227,0.43472,0.33697,0.84063,0.0014324,0.0014324,0.0014324
45,163.811,0.56393,0.40747,0.88511,0.99884,1,0.995,0.92425,0.41058,0.32758,0.83927,0.0014192,0.0014192,0.0014192
46,167.274,0.55129,0.41485,0.87318,0.99887,1,0.995,0.93107,0.43975,0.32149,0.84741,0.001406,0.001406,0.001406
47,170.803,0.53174,0.39258,0.86803,0.99885,1,0.995,0.93392,0.39834,0.31802,0.83936,0.0013928,0.0013928,0.0013928
48,174.306,0.53636,0.37923,0.84341,0.99891,1,0.995,0.92382,0.41533,0.30398,0.8387,0.0013796,0.0013796,0.0013796
49,177.799,0.53991,0.38613,0.8566,0.99889,1,0.995,0.93462,0.4028,0.28523,0.82605,0.0013664,0.0013664,0.0013664
50,181.251,0.5204,0.37288,0.85288,0.99893,1,0.995,0.93072,0.40567,0.33385,0.83221,0.0013532,0.0013532,0.0013532
51,184.755,0.50947,0.36783,0.86383,0.99891,1,0.995,0.92552,0.38325,0.30363,0.82659,0.00134,0.00134,0.00134
52,189.021,0.56329,0.396,0.86357,0.99892,1,0.995,0.91735,0.41118,0.32858,0.83826,0.0013268,0.0013268,0.0013268
53,192.521,0.51618,0.36344,0.85454,0.99892,1,0.995,0.92706,0.40299,0.30698,0.83468,0.0013136,0.0013136,0.0013136
54,196.019,0.50686,0.35597,0.86446,0.99892,1,0.995,0.93563,0.37059,0.29228,0.82539,0.0013004,0.0013004,0.0013004
55,199.529,0.54745,0.37155,0.84387,0.99889,1,0.995,0.92134,0.41117,0.30142,0.82826,0.0012872,0.0012872,0.0012872
56,203.046,0.52217,0.36194,0.86303,0.9989,1,0.995,0.94782,0.38179,0.29232,0.82668,0.001274,0.001274,0.001274
57,206.617,0.51488,0.36297,0.8682,0.99894,1,0.995,0.93693,0.39165,0.28228,0.82919,0.0012608,0.0012608,0.0012608
58,210.13,0.51748,0.35932,0.85304,0.99892,1,0.995,0.94531,0.37966,0.28759,0.83014,0.0012476,0.0012476,0.0012476
59,213.697,0.51022,0.35129,0.83661,0.99892,1,0.995,0.9379,0.3706,0.27561,0.82723,0.0012344,0.0012344,0.0012344
60,217.2,0.50432,0.3509,0.84555,0.9989,1,0.995,0.93161,0.39685,0.29309,0.83297,0.0012212,0.0012212,0.0012212
61,220.721,0.48382,0.34028,0.84229,0.99892,1,0.995,0.94092,0.38108,0.28282,0.82645,0.001208,0.001208,0.001208
62,224.19,0.51007,0.34446,0.87777,0.99892,1,0.995,0.93169,0.3955,0.30113,0.83476,0.0011948,0.0011948,0.0011948
63,227.678,0.50196,0.35202,0.85367,0.99885,1,0.995,0.95323,0.35828,0.28212,0.8269,0.0011816,0.0011816,0.0011816
64,231.259,0.53308,0.36402,0.86236,0.99893,1,0.995,0.93795,0.38569,0.27686,0.83038,0.0011684,0.0011684,0.0011684
