epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.90472,1.45883,4.97877,1.28784,0.00333,1,0.96202,0.79088,0.73353,3.93767,1.03037,8.00E-05,8.00E-05,8.00E-05
2,8.77268,1.57797,5.02643,1.30564,0.00333,1,0.995,0.79102,0.76874,3.92356,1.00652,0.000179406,0.000179406,0.000179406
3,12.7267,1.02335,3.07423,1.08161,0.00333,1,0.96891,0.75833,0.81318,3.83168,1.00997,0.000278152,0.000278152,0.000278152
4,16.6125,0.82336,2.66244,0.96166,0.00333,1,0.995,0.76434,0.83367,3.79517,0.97356,0.000376238,0.000376238,0.000376238
5,20.7891,0.81118,2.67528,0.99921,0.00333,1,0.99045,0.80511,0.78513,3.83729,0.98815,0.000473664,0.000473664,0.000473664
6,24.8921,0.85707,2.45227,0.99513,0.00333,1,0.95735,0.66123,0.97189,4.10287,1.06373,0.00057043,0.00057043,0.00057043
7,28.8808,0.78282,2.112,0.93521,0.00333,1,0.9825,0.80532,0.73171,3.88585,1.00946,0.000666536,0.000666536,0.000666536
8,32.8076,0.72836,2.28784,0.94732,0.00333,1,0.54964,0.37723,1.22372,4.7891,1.23551,0.000761982,0.000761982,0.000761982
9,36.7798,0.79391,2.18587,0.94707,1,0.55483,0.94043,0.72418,0.96176,3.76804,1.12449,0.000856768,0.000856768,0.000856768
10,40.7676,0.81352,1.93803,0.95527,0.88184,0.85,0.85371,0.45519,1.21956,3.7416,1.27157,0.000950894,0.000950894,0.000950894
11,44.8164,0.76239,1.95306,0.93931,1,0.89239,0.94268,0.6771,0.97135,3.33948,1.07234,0.00104436,0.00104436,0.00104436
12,48.7903,0.78266,1.91238,0.95252,0.79198,0.76191,0.86031,0.59951,1.09435,2.93602,1.18863,0.00113717,0.00113717,0.00113717
13,52.5121,0.81903,1.7963,0.98578,0.69362,0.6,0.69977,0.47352,1.34836,3.51629,1.33053,0.00122931,0.00122931,0.00122931
14,56.4205,0.73216,1.71808,0.9391,0.13747,0.25,0.05035,0.01428,2.12723,5.97944,2.62496,0.0013208,0.0013208,0.0013208
15,60.4025,0.79338,1.7473,0.95169,0.89523,0.9,0.9663,0.65578,1.19141,1.93755,1.18397,0.00141162,0.00141162,0.00141162
16,64.2822,0.7673,2.07588,0.9802,0.84894,0.85,0.88169,0.58261,1.20522,1.78216,1.1828,0.00150179,0.00150179,0.00150179
17,68.1922,0.76826,1.66059,0.94604,1,0.94617,0.99262,0.7281,0.99148,1.35182,1.08621,0.0015913,0.0015913,0.0015913
18,72.1486,0.72865,1.55556,0.94523,0.80194,0.85,0.85729,0.61772,0.95894,1.58893,1.10156,0.00168014,0.00168014,0.00168014
19,75.8809,0.76303,1.48482,0.95445,0.86205,0.93779,0.93414,0.64997,1.06662,1.5642,1.19201,0.00176833,0.00176833,0.00176833
20,79.7131,0.71751,1.55447,0.93223,0.90067,0.95,0.95817,0.73859,0.93846,1.00851,1.09059,0.00185585,0.00185585,0.00185585
21,83.3183,0.69747,1.40172,0.93171,0.82186,0.95,0.95016,0.68829,1.01222,1.16951,1.05948,0.001868,0.001868,0.001868
22,87.1237,0.74273,1.40832,0.93141,0.78195,0.95,0.93452,0.66443,0.92708,1.4838,1.05648,0.0018614,0.0018614,0.0018614
23,90.9945,0.70331,1.41019,0.94479,0.74584,0.85,0.8853,0.48258,1.24725,2.58671,1.18106,0.0018548,0.0018548,0.0018548
24,95.0036,0.65738,1.34572,0.9155,0.86856,0.95,0.9412,0.72647,0.87177,1.05125,1.07544,0.0018482,0.0018482,0.0018482
25,98.8177,0.70121,1.35209,0.94644,0.75904,0.94519,0.89155,0.67463,0.82275,1.20204,1.07355,0.0018416,0.0018416,0.0018416
26,102.504,0.7067,1.23275,0.9155,0.93941,0.95,0.94749,0.73924,0.86141,1.01725,1.09593,0.001835,0.001835,0.001835
27,106.26,0.75683,1.19764,0.93663,0.73846,0.95,0.83625,0.54949,1.00666,1.17741,1.16307,0.0018284,0.0018284,0.0018284
28,110.058,0.66916,1.05954,0.91083,0.38707,0.75,0.64584,0.30488,1.17046,2.11892,1.28531,0.0018218,0.0018218,0.0018218
29,113.689,0.62281,1.09208,0.88226,0.55507,0.68656,0.61685,0.34847,1.14562,2.13561,1.29633,0.0018152,0.0018152,0.0018152
30,117.29,0.68318,1.09226,0.90278,0.76919,0.55,0.63772,0.37827,1.3936,2.55571,1.53791,0.0018086,0.0018086,0.0018086
31,120.974,0.68622,1.10892,0.92982,0.68056,0.32084,0.5927,0.42516,1.18812,2.88018,1.44416,0.001802,0.001802,0.001802
32,124.876,0.69723,1.00289,0.91916,0.69005,0.9,0.75809,0.6192,0.80564,1.15243,1.06099,0.0017954,0.0017954,0.0017954
33,128.582,0.67101,1.02321,0.9065,0.7826,1,0.93875,0.72321,0.86071,0.81675,1.05832,0.0017888,0.0017888,0.0017888
34,132.426,0.7034,0.95942,0.91449,0.7575,1,0.92481,0.78157,0.83037,0.96558,1.02038,0.0017822,0.0017822,0.0017822
35,136.156,0.71804,0.99047,0.93079,0.85641,1,0.95063,0.78299,0.678,0.82741,0.97939,0.0017756,0.0017756,0.0017756
36,140.062,0.72536,0.97835,0.96438,0.83036,0.97949,0.94167,0.73586,0.79655,0.84997,1.01445,0.001769,0.001769,0.001769
37,143.952,0.71264,1.03695,0.90935,0.64274,0.75,0.73354,0.58181,0.9199,1.17545,1.08734,0.0017624,0.0017624,0.0017624
38,147.609,0.69813,0.93931,0.92792,0.61847,0.973,0.81301,0.65914,0.88062,1.13564,1.09163,0.0017558,0.0017558,0.0017558
39,151.29,0.68021,0.93688,0.91611,0.93293,0.85,0.92833,0.71441,0.88027,1.00972,1.10466,0.0017492,0.0017492,0.0017492
40,155.014,0.6605,0.88177,0.90616,0.99244,1,0.995,0.73677,0.96341,0.715,1.09235,0.0017426,0.0017426,0.0017426
41,158.689,0.66455,0.83942,0.94236,0.94802,1,0.99262,0.77983,0.83707,0.66607,1.0382,0.001736,0.001736,0.001736
42,162.444,0.61573,0.80938,0.90815,1,0.98629,0.995,0.84874,0.71472,0.65917,1.01611,0.0017294,0.0017294,0.0017294
43,166.109,0.6623,0.84746,0.93947,0.95211,1,0.96405,0.81881,0.7066,0.80883,1.03025,0.0017228,0.0017228,0.0017228
44,169.974,0.68806,0.80451,0.96614,0.94532,0.95,0.94174,0.75456,0.86519,1.00767,1.09187,0.0017162,0.0017162,0.0017162
45,173.751,0.67941,0.82431,0.9295,0.94762,0.95,0.93413,0.76021,0.76067,0.77971,1.00173,0.0017096,0.0017096,0.0017096
46,177.449,0.60261,0.77489,0.90512,0.94765,0.95,0.97295,0.8056,0.73073,0.69629,0.98708,0.001703,0.001703,0.001703
47,181.364,0.68391,0.76651,0.93913,0.95226,0.99736,0.99024,0.79334,0.79342,0.73363,1.02888,0.0016964,0.0016964,0.0016964
48,185.195,0.63762,0.74198,0.93485,0.94739,0.95,0.96417,0.80067,0.7376,0.71471,0.96983,0.0016898,0.0016898,0.0016898
49,188.842,0.61282,0.68361,0.90162,0.94567,0.95,0.95125,0.80735,0.69425,0.74631,0.96253,0.0016832,0.0016832,0.0016832
50,192.45,0.58222,0.72955,0.88413,0.94504,0.95,0.91538,0.77586,0.70505,0.62397,0.96313,0.0016766,0.0016766,0.0016766
51,196.355,0.59555,0.65788,0.88892,0.94625,0.95,0.93674,0.80006,0.65945,0.60618,0.9527,0.00167,0.00167,0.00167
52,200.122,0.61866,0.66427,0.89711,0.94581,0.95,0.95699,0.79437,0.73097,0.534,0.97914,0.0016634,0.0016634,0.0016634
53,203.74,0.54159,0.62008,0.86264,0.94482,0.95,0.9426,0.77153,0.80718,0.59134,1.03308,0.0016568,0.0016568,0.0016568
54,207.498,0.60366,0.63636,0.93253,0.94659,0.95,0.94278,0.72619,0.83858,0.58414,1.01022,0.0016502,0.0016502,0.0016502
55,211.082,0.61529,0.6421,0.90843,0.94627,0.95,0.98598,0.76116,0.8859,0.59893,1.02162,0.0016436,0.0016436,0.0016436
56,214.939,0.58707,0.61045,0.88906,0.99397,0.95,0.98204,0.8058,0.69719,0.56885,0.97089,0.001637,0.001637,0.001637
57,218.596,0.56936,0.61377,0.89215,0.94668,0.95,0.97833,0.82507,0.7241,0.57532,0.97286,0.0016304,0.0016304,0.0016304
58,222.284,0.62034,0.63971,0.91336,0.94657,0.95,0.96107,0.78865,0.71424,0.58598,0.96805,0.0016238,0.0016238,0.0016238
59,226.061,0.60497,0.60315,0.91101,0.94687,0.95,0.9252,0.76297,0.83285,0.62928,1.01876,0.0016172,0.0016172,0.0016172
60,230.466,0.60106,0.59013,0.90287,0.95224,0.99705,0.9831,0.79047,0.7876,0.51014,0.99974,0.0016106,0.0016106,0.0016106
